Number,Tags,Sub-Objects,Pos Ratings,All Ratings,Word Count,Safe,Euclid,Keter,Thaumiel,Anomalous,Neutral,D-Class,Containment Breach,Addendum,Task Force,O5 Council,Agent,[EXPUNGED],[REDACTED],Blacked Out
12.0,cognitohazard document euclid mind-affecting musical scp visual,None,831.0,1335.0,320.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,artifact mind-affecting safe scp sensory,None,586.0,742.0,463.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
14.0,humanoid safe sapient scp,None,785.0,925.0,401.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
15.0,autonomous euclid scp self-replicating structure,None,1081.0,1195.0,415.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
16.0,alive biohazard contagion keter sapient scp species transfiguration,None,730.0,848.0,1560.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
17.0,hostile humanoid keter light scp shadow,None,876.0,1236.0,318.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,ectoentropic euclid scp sphere toy,None,452.0,790.0,698.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
19.0,adaptive alive ectoentropic hostile keter scp,2,505.0,645.0,780.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20.0,alive biohazard contagion fungus keter mind-affecting scp sensory species,None,550.0,674.0,614.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
21.0,alive artistic parasitic reptile safe scp,None,601.0,719.0,685.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
22.0,autonomous building cadaver euclid humanoid reanimation scp,1,714.0,758.0,847.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
23.0,alive animal canine cognitohazard euclid fire intangible scp sun teleportation visual,None,531.0,723.0,734.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
24.0,ectoentropic euclid game media scp structure,None,798.0,938.0,1197.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
25.0,clothing predictive safe scp,None,449.0,547.0,1157.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
26.0,building euclid humanoid mind-affecting scp sleep,None,553.0,633.0,764.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
27.0,alive animal compulsion contagion euclid humanoid insect rodent scp,None,537.0,621.0,900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
28.0,event-featured knowledge location mind-affecting safe scp,None,1177.0,1237.0,770.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
29.0,alive compulsion hostile humanoid keter light mind-affecting scp,None,439.0,825.0,764.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
30.0,autonomous biological humanoid knowledge language light safe sapient scp,None,502.0,602.0,1214.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
31.0,alive amorphous cognitohazard euclid hallucination hostile maria-jones metamorphic mimetic parasitic predatory rewrite scp sensory visual,None,104.0,258.0,2783.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
32.0,autonomous biohazard brothers-of-death euclid humanoid sapient scp,None,425.0,515.0,1568.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33.0,euclid mathematical scp self-replicating,None,855.0,1173.0,1057.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34.0,mimetic safe scp tool transfiguration weapon,None,351.0,475.0,1108.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
35.0,clothing cognitohazard ectoentropic keter mind-affecting possessive-mask sapient scp telepathic visual,None,1816.0,2036.0,1841.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
36.0,humanoid location religious safe scp vehicle,None,229.0,457.0,932.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
37.0,airborne euclid extraterrestrial rewrite scp sun,None,217.0,507.0,771.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
38.0,alive metamorphic mimetic plant safe scp the-sculpture tree,None,597.0,775.0,758.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
39.0,alive animal euclid humanoid primate rewrite sapient scp species,A,105.0,129.0,4828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
40.0,alive ectoentropic esoteric-class humanoid rewrite sapient scp transfiguration,1,581.0,761.0,1152.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
41.0,alive humanoid safe sapient scp telepathic,None,250.0,342.0,891.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
42.0,alive animal equine mind-affecting rewrite safe scp,None,188.0,526.0,772.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
43.0,knowledge media safe sapient scp,None,334.0,720.0,257.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,ectoentropic mechanical military safe scp the-administrator weapon,None,336.0,540.0,515.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
45.0,chemical ectoentropic extradimensional geological liquid polyhedral rewrite safe scp,None,175.0,299.0,861.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
46.0,biological compulsion euclid hallucination infohazard plant predatory scp,1 2,331.0,423.0,1272.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
47.0,artifact contagion gaseous keter scp transfiguration,1,200.0,336.0,915.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
48.0,esoteric-class mathematical meta probability scp,None,1415.0,1717.0,780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
49.0,audio biological chemical co-authored contagion euclid humanoid plague-doctor reanimation rewrite sapient scp tactile,2,4144.0,4570.0,3858.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,euclid indestructible primate sapient scp sculpture,None,460.0,756.0,315.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,compulsion humanoid reproductive safe scp transfiguration,A,311.0,383.0,514.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
52.0,euclid loop scp subterranean temporal vehicle,None,527.0,593.0,985.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
53.0,alive cognitohazard euclid humanoid mind-affecting sapient scp tactile visual,None,907.0,1131.0,447.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,amorphous humanoid liquid rewrite safe sapient scp,None,398.0,532.0,757.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
55.0,antimemetic co-authored featured infohazard keter memory-affecting meta scp,None,3564.0,3652.0,990.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
56.0,euclid humanoid metamorphic mind-affecting observational sapient scp,None,221.0,623.0,1276.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
57.0,autonomous co-authored safe scp structure subterranean,None,350.0,446.0,1161.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
58.0,alive auditory bovine hostile keter scp,None,821.0,1057.0,1061.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
59.0,alive biohazard contagion extradimensional fungus keter radioactive rewrite scp,1,239.0,481.0,808.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
60.0,alive fire hostile humanoid keter plant reanimation scp skeletal tree,None,474.0,542.0,960.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,auditory compulsion foundation-made mind-affecting safe scp,None,281.0,461.0,979.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
62.0,computer electronic euclid extradimensional knowledge language rewrite scp,None,221.0,409.0,587.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
63.0,ectoentropic radioactive safe scp tool,None,508.0,798.0,362.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
64.0,artifact safe scp self-replicating structure,None,349.0,397.0,581.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
65.0,auditory euclid genetic global-occult-coalition location reanimation scp sensory transfiguration visual,None,235.0,393.0,713.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
66.0,amorphous autonomous eric euclid rewrite scp toy,None,866.0,960.0,681.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
67.0,artistic autonomous safe scp tool,None,472.0,548.0,959.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
68.0,autonomous humanoid indestructible safe scp self-replicating,None,205.0,361.0,639.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
69.0,alive cadaver featured humanoid metamorphic mimetic safe sapient scp self-repairing telepathic teleportation,None,590.0,654.0,704.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
70.0,alive autonomous humanoid mechanical safe scp,None,165.0,345.0,824.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
71.0,autonomous euclid metamorphic observational scp sexual telepathic,None,356.0,496.0,573.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
72.0,autonomous extremity intangible mind-affecting safe scp self-replicating sleep transfiguration,1 2 5 6,580.0,686.0,558.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
73.0,able alive cain euclid humanoid indestructible inscription mechanical sapient scp,None,1208.0,1390.0,968.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
74.0,alive crustacean euclid infohazard meta parasitic radioactive scp teleportation,1,170.0,318.0,947.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,alive corrosive euclid predatory rewrite scp,None,320.0,446.0,461.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,able alive extradimensional hostile humanoid inscription keter rewrite sapient scp,1 2,1555.0,2149.0,1377.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
77.0,cognitohazard euclid historical humanoid inscription rewrite ritual scp skeletal visual,1,250.0,362.0,743.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
78.0,cognitohazard electrical euclid language mind-affecting scp visual,None,371.0,431.0,719.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
79.0,computer electronic euclid hard-to-kill-reptile media sapient scp,None,1440.0,1648.0,946.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
80.0,euclid intangible mind-affecting scp sleep visual,None,202.0,360.0,724.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
81.0,euclid fire mind-affecting scp uncontained virus,None,343.0,421.0,850.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
82.0,alive euclid humanoid predatory sapient scp,None,717.0,967.0,778.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,building euclid extradimensional portal scp spacetime,None,285.0,379.0,1416.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
84.0,euclid radioactive scp spacetime structure,None,533.0,581.0,804.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
85.0,artistic autonomous foundation-made humanoid inscription mobile safe sapient scp visual,None,1522.0,1586.0,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
86.0,appliance biological rewrite safe sapient scp tool,1 2 3 4 5 6 7,648.0,706.0,993.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
87.0,acoustic building euclid light location scp spacetime,1,3257.0,3405.0,541.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
88.0,alive biohazard corrosive humanoid mind-affecting safe scp self-replicating toxic transfiguration,None,128.0,344.0,687.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
89.0,euclid fire humanoid predictive religious ritual scp sculpture,A B,757.0,851.0,1437.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
90.0,artifact autonomous cube indestructible keter predictive scp,None,187.0,515.0,727.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
91.0,artifact cognitohazard memory-affecting mind-affecting safe scp visual,None,352.0,468.0,425.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
92.0,are-we-cool-yet auditory cognitohazard compulsion extradimensional mathematical media musical rewrite safe scp telekinetic transfiguration,B,587.0,797.0,1921.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
93.0,artifact autonomous euclid extradimensional featured indestructible inscription portal rewrite scp,None,2914.0,3060.0,1397.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
94.0,acoustic keter rewrite scp spacetime sphere,None,302.0,450.0,506.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
95.0,artistic document predictive safe scp,None,306.0,454.0,644.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
96.0,alive cognitohazard doctor-dan euclid humanoid scp shy-guy visual,1,3469.0,3641.0,1264.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
97.0,euclid location mind-affecting plant scp sleep vehicle,None,532.0,586.0,1238.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
98.0,alive crustacean featured safe scp species,None,404.0,570.0,623.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
99.0,artistic cognitohazard mind-affecting rewrite safe scp visual,None,361.0,469.0,471.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
100.0,euclid humanoid location robotic sapient scp self-replicating,1,435.0,485.0,1240.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
101.0,alive artifact euclid extradimensional metamorphic predatory scp,None,267.0,443.0,763.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
102.0,building euclid featured intangible marshall-carter-and-dark scp sensory transfiguration,1 2,81.0,343.0,508.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
103.0,alive euclid humanoid parasitic rewrite sapient scp,None,21.0,485.0,625.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
104.0,autonomous euclid scp self-repairing sphere teleportation,None,107.0,267.0,574.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
105.0,alive co-authored humanoid iris-thompson photographic rewrite safe sapient scp telekinetic,B,958.0,1274.0,1374.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
106.0,corrosive extradimensional hostile humanoid keter sapient scp the-old-man,None,2895.0,3061.0,1673.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
107.0,biological ectoentropic meteorological safe scp skeletal,None,356.0,396.0,1281.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
108.0,alive humanoid military portal safe scp structure,None,514.0,646.0,1009.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
109.0,artifact ectoentropic euclid liquid scp,None,268.0,426.0,580.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
110.0,city euclid future geological scp subterranean teleportation temporal,None,318.0,458.0,1511.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
111.0,alive animal dr-wondertainment fire invertebrate safe scp species,None,713.0,745.0,787.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
112.0,euclid extradimensional scp structure temporal,None,502.0,540.0,1746.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
113.0,reproductive rewrite safe scp tactile transfiguration,None,592.0,810.0,710.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
114.0,alive euclid humanoid mind-affecting rewrite sapient scp,None,144.0,262.0,703.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
115.0,miniature safe scp toy vehicle,1 2,340.0,416.0,444.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
116.0,alive euclid humanoid language mind-affecting scp transfiguration,None,51.0,365.0,885.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
117.0,metamorphic safe scp telepathic tool weapon,None,58.0,354.0,960.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
118.0,alive aquatic euclid microscopic scp self-replicating species,None,228.0,312.0,2300.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
119.0,appliance electrical euclid radioactive scp temporal,None,383.0,419.0,786.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
120.0,artifact indestructible liquid portal safe scp teleportation,None,546.0,610.0,1405.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
121.0,airborne city euclid metamorphic meteorological scp,1 2,284.0,342.0,1061.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
122.0,autonomous hostile humanoid keter light rewritable rewrite sapient scp shadow sleep,1,341.0,523.0,727.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
123.0,euclid gravity scp spacetime sphere,None,367.0,433.0,686.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
124.0,biological euclid scp transfiguration,None,320.0,462.0,392.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125.0,contagion euclid ocular scp self-replicating transfiguration visual,None,94.0,230.0,1004.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
126.0,acoustic euclid humanoid intangible mind-affecting rewrite sapient scp,None,234.0,358.0,682.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
127.0,biological dental safe scp self-repairing weapon,None,554.0,692.0,306.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
128.0,amorphous ectoentropic euclid rewrite scp telekinetic,None,286.0,332.0,1976.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
129.0,biohazard contagion fungus keter rewrite scp species transfiguration,None,86.0,278.0,1161.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
130.0,building document ectoentropic euclid scp,None,83.0,263.0,1315.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
131.0,autonomous empathic safe scp the-sculpture,A B,990.0,1152.0,748.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
132.0,polyhedral safe scp visual,71,285.0,329.0,687.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
133.0,artifact ectoentropic factory rewrite safe scp,None,205.0,333.0,290.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
134.0,alive humanoid ocular portal rewrite safe sapient scp,None,359.0,495.0,810.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
135.0,biohazard biological euclid humanoid indestructible medical scp self-repairing transfiguration,None,248.0,318.0,654.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
